Year,Annual Average,AnnualPercentChange,Mult2017
1985,323.2,3.50%,2.279
1986,329.4,1.90%,2.236
1987,341.4,3.70%,2.158
1988,355.4,4.10%,2.073
1989,372.5,4.80%,1.977
1990,392.6,5.40%,1.876
1991,409.3,4.20%,1.8
1992,421.7,3.00%,1.747
1993,434.1,3.00%,1.697
1994,445.4,2.60%,1.654
1995,457.9,2.80%,1.609
1996,471.3,2.90%,1.563
1997,482.4,2.30%,1.527
1998,489.8,1.60%,1.504
1999,500.6,2.20%,1.471
2000,517.5,3.40%,1.423
2001,532.1,2.80%,1.384
2002,540.5,1.60%,1.363
2003,552.8,2.30%,1.332
2004,567.6,2.70%,1.298
2005,586.9,3.40%,1.255
2006,605.8,3.20%,1.216
2007,623.1,2.90%,1.182
2008,647,3.80%,1.138
2009,644.7,-0.40%,1.143
2010,655.3,1.60%,1.124
2011,676,3.20%,1.09
2012,689.9,2.10%,1.068
2013,700,1.50%,1.052
2014,711.4,1.60%,1.035
2015,712.3,0.10%,1.034
2016,721.2,1.30%,1.021
2017,736.6,2.10%,1
