playerID,debut,finalGame
aardsda01,4/6/2004,8/23/2015
aaronha01,4/13/1954,10/3/1976
aaronto01,4/10/1962,9/26/1971
aasedo01,7/26/1977,10/3/1990
abadan01,9/10/2001,4/13/2006
abadfe01,7/28/2010,10/1/2017
abadijo01,1875-04-26,1875-06-10
abbated01,1897-09-04,9/15/1910
abbeybe01,1892-06-14,1896-09-23
abbeych01,1893-08-16,1897-08-19
abbotda01,1890-04-19,1890-05-23
abbotfr01,4/25/1903,9/20/1905
abbotgl01,7/29/1973,8/8/1984
abbotje01,6/10/1997,9/29/2001
abbotji01,4/8/1989,7/21/1999
abbotku01,9/7/1993,4/13/2001
abbotky01,9/10/1991,8/24/1996
abbotod01,9/10/1910,10/15/1910
abbotpa01,8/21/1990,8/7/2004
aberal01,9/15/1950,9/11/1957
abercda01,1871-10-21,1871-10-21
abercre01,4/4/2006,9/28/2008
abernbi01,9/27/1952,9/27/1952
abernbr01,6/25/2001,9/29/2005
abernte01,9/19/1942,4/29/1944
abernte02,4/13/1955,9/30/1972
abernwo01,7/28/1946,4/17/1947
aberscl01,7/18/1947,5/9/1949
ablesha01,9/4/1905,5/5/1911
abnersh01,9/8/1987,10/3/1992
abramca01,4/19/1949,5/9/1956
abramge01,4/19/1923,5/4/1923
abregjo01,9/4/1985,10/3/1985
abreubo01,9/1/1996,9/28/2014
abreujo01,4/23/1942,7/11/1942
abreujo02,3/31/2014,10/1/2017
abreuju01,8/29/2011,9/27/2011
abreuto01,5/22/2007,7/28/2014
abreuwi01,8/6/2006,7/25/2009
abstebi01,9/25/1906,6/2/1910
accarje01,5/4/2005,9/27/2012
aceveal01,8/31/2008,6/2/2014
acevejo01,6/19/2001,9/29/2005
aceveju01,4/30/1995,8/5/2003
achteaj01,9/3/2014,10/1/2016
ackerji01,4/7/1983,6/14/1992
ackerto01,4/20/1956,9/20/1959
ackledu01,6/17/2011,5/29/2016
acklefr01,9/21/1963,5/9/1964
acostcy01,6/4/1972,5/5/1975
acosted01,9/7/1970,10/4/1972
acostjo01,7/28/1920,5/12/1922
acostma01,8/12/2007,10/3/2012
acostme01,6/15/1913,9/2/1918
acrema01,5/13/1994,5/10/1997
actama99,,
adairbi99,,
adairje01,9/2/1958,5/3/1970
adairji01,8/24/1931,9/7/1931
adamecr01,7/29/2014,4/28/2017
adamsac01,4/15/1941,4/24/1946
adamsau01,7/12/2014,9/27/2016
adamsau02,7/15/2017,10/1/2017
adamsba01,4/18/1906,8/11/1926
adamsbe01,8/30/1910,9/28/1919
adamsbo01,9/22/1925,9/23/1925
adamsbo02,9/27/1931,9/17/1932
adamsbo03,4/16/1946,4/22/1959
adamsbo04,7/10/1977,9/29/1977
adamsbu01,4/27/1939,9/21/1947
adamsda01,5/22/1914,9/26/1915
adamsda02,5/15/2013,9/29/2013
adamsdi01,5/20/1947,9/28/1947
adamsdo01,9/8/1969,10/1/1969
adamsge01,1879-06-14,1879-06-21
adamsgl01,5/4/1975,10/3/1982
adamshe01,9/17/1948,8/30/1950
adamsji01,1890-04-21,1890-04-21
adamsjo01,4/26/1902,4/26/1902
adamsjo02,4/10/1996,4/26/1998
adamska01,4/19/1914,9/23/1915
adamsla01,9/1/2014,10/1/2017
adamsma01,5/20/2012,9/30/2017
adamsmi01,7/1/1967,5/7/1969
adamsmi02,9/10/1972,7/25/1978
adamsmi03,5/18/2004,9/18/2014
