,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum,yearID,playerID,Primary
34,154,576,103,182,42,10,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,1.0,152.0,150.0,3992.0,337.0,13.0,4.0,2.0,0.0,0.0,0.0,2933333.0,200000.0,4174132.859,284600.0,4174132.859,0.3159722222222222,0.5538194444444444,0.4161764705882353,0.9887005649717514,1996,5,2000,abreubo01,OF
35,162,588,118,170,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,1.0,162.0,159.0,4234.0,308.0,11.0,8.0,4.0,0.0,0.0,0.0,4983000.0,200000.0,6896472.000000001,276800.0,6896472.000000001,0.2891156462585034,0.5425170068027211,0.3934659090909091,0.9755351681957186,1996,6,2001,abreubo01,OF
36,157,572,102,176,50,6,20,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,1.0,154.0,153.0,4062.0,282.0,10.0,5.0,2.0,0.0,0.0,0.0,6333333.0,200000.0,8632332.879,272600.00000000006,8632332.879,0.3076923076923077,0.5209790209790209,0.4131386861313869,0.9831649831649831,1996,7,2002,abreubo01,OF
37,158,577,99,173,35,1,20,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,1.0,158.0,156.0,4120.0,304.0,6.0,6.0,0.0,0.0,0.0,0.0,9100000.0,300000.0,12121199.999999998,399599.99999999994,12121199.999999998,0.29982668977469673,0.4679376083188908,0.40863309352517985,0.9810126582278481,1996,8,2003,abreubo01,OF
38,159,574,118,173,47,1,30,105.0,40.0,5.0,127,116.0,10.0,5.0,0.0,7.0,5.0,1.0,158.0,157.0,4184.0,311.0,13.0,6.0,4.0,0.0,0.0,0.0,10600000.0,300000.0,13758800.0,389400.0,13758800.0,0.30139372822299654,0.5435540069686411,0.4277699859747546,0.9818181818181818,1996,9,2004,abreubo01,OF
39,162,588,104,168,37,1,24,102.0,31.0,9.0,117,134.0,15.0,6.0,0.0,8.0,7.0,1.0,158.0,158.0,4092.0,266.0,7.0,4.0,0.0,0.0,0.0,0.0,13100000.0,316000.0,16440499.999999998,396579.99999999994,16440499.999999998,0.2857142857142857,0.4744897959183674,0.4047287899860918,0.9855595667870036,1996,10,2005,abreubo01,OF
40,156,548,98,163,41,2,15,107.0,30.0,6.0,124,138.0,6.0,3.0,2.0,9.0,13.0,3.0,154.0,149.0,3897.0,292.0,10.0,3.0,0.0,0.0,0.0,0.0,13600000.0,327000.0,16537600.0,397632.0,16537600.0,0.29744525547445255,0.46167883211678834,0.4239766081871345,0.9901639344262295,1996,11,2006,abreubo01,OF
41,158,605,123,171,40,5,16,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,1.0,157.0,150.0,3999.0,313.0,6.0,4.0,1.0,0.0,0.0,0.0,15000000.0,380000.0,17730000.0,449160.0,17730000.0,0.28264462809917357,0.4446280991735537,0.36909871244635195,0.9876160990712074,1996,12,2007,abreubo01,OF
42,156,609,100,180,39,4,20,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,1.0,150.0,148.0,3930.0,270.0,10.0,2.0,3.0,0.0,0.0,0.0,16000000.0,390000.0,18208000.0,443819.99999999994,18208000.0,0.2955665024630542,0.47126436781609193,0.3713450292397661,0.9929078014184397,1996,13,2008,abreubo01,OF
43,152,563,96,165,29,3,15,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,1.0,136.0,136.0,3498.0,269.0,10.0,8.0,4.0,0.0,0.0,0.0,5000000.0,400000.0,5715000.0,457200.0,5715000.0,0.29307282415630553,0.4351687388987567,0.38980509745127434,0.9721254355400697,1996,14,2009,abreubo01,OF
44,154,573,88,146,41,1,20,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,1.0,134.0,134.0,3464.0,242.0,7.0,6.0,2.0,0.0,0.0,0.0,9000000.0,400000.0,10116000.000000002,449600.00000000006,10116000.000000002,0.2547993019197208,0.43455497382198954,0.3523238380809595,0.9764705882352941,1996,15,2010,abreubo01,OF
45,142,502,54,127,30,1,8,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,1.0,28.0,28.0,674.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,9000000.0,414000.0,9810000.0,451260.00000000006,9810000.0,0.25298804780876494,0.3645418326693227,0.3527397260273973,0.96875,1996,16,2011,abreubo01,OF
46,100,219,29,53,11,1,3,24.0,6.0,2.0,37,56.0,3.0,0.0,0.0,1.0,7.0,3.0,54.0,50.0,1133.0,70.0,2.0,1.0,1.0,0.0,0.0,0.0,9000000.0,480000.0,9612000.0,512640.0,9612000.0,0.2420091324200913,0.3424657534246575,0.35019455252918286,0.9863013698630136,1996,17,2012,abreubo01,OF
